iter	Passed	Remaining
402	11482	17010
403	11510	16980
404	11536	16948
405	11563	16917
406	11591	16888
407	11617	16856
408	11643	16824
409	11670	16794
410	11698	16765
411	11725	16734
412	11754	16706
413	11783	16678
414	11808	16645
415	11837	16618
416	11864	16587
417	11889	16553
418	11916	16523
419	11942	16492
420	11972	16465
421	11998	16434
422	12026	16404
423	12052	16373
424	12078	16341
425	12106	16312
426	12134	16283
427	12163	16255
428	12185	16219
429	12212	16188
430	12240	16160
431	12266	16127
432	12294	16099
433	12320	16067
434	12347	16038
435	12374	16008
436	12404	15981
437	12436	15957
438	12462	15926
439	12489	15895
440	12515	15863
441	12541	15833
442	12568	15802
443	12596	15774
444	12620	15739
445	12645	15707
446	12673	15678
447	12703	15652
448	12729	15621
449	12759	15595
450	12787	15566
451	12814	15535
452	12839	15503
453	12868	15476
454	12896	15446
455	12922	15416
456	12949	15386
457	12976	15356
458	13005	15328
459	13030	15297
460	13057	15266
461	13083	15235
462	13108	15203
463	13136	15175
464	13164	15146
465	13191	15116
466	13218	15086
467	13247	15059
468	13275	15030
469	13306	15004
470	13333	14975
471	13360	14946
472	13387	14915
473	13411	14883
474	13439	14853
475	13464	14822
476	13491	14792
477	13520	14764
478	13546	14734
479	13573	14704
480	13598	14673
481	13626	14643
482	13651	14612
483	13677	14581
484	13704	14551
485	13728	14519
486	13757	14491
487	13784	14462
488	13813	14434
489	13840	14405
490	13864	14372
491	13890	14342
492	13915	14311
493	13942	14281
494	13970	14252
495	13996	14222
496	14025	14194
497	14051	14164
498	14078	14134
499	14107	14107
500	14136	14079
501	14167	14054
502	14195	14025
503	14226	14000
504	14256	13974
505	14284	13946
506	14315	13919
507	14341	13890
508	14369	13861
509	14397	13832
510	14422	13801
511	14451	13773
512	14481	13747
513	14510	13719
514	14539	13692
515	14566	13663
516	14594	13634
517	14623	13607
518	14650	13578
519	14678	13549
520	14706	13520
521	14735	13493
522	14763	13465
523	14792	13437
524	14820	13409
525	14846	13379
526	14874	13350
527	14902	13321
528	14932	13295
529	14959	13266
530	14988	13238
531	15016	13209
532	15042	13179
533	15068	13150
534	15097	13122
535	15123	13092
536	15152	13064
537	15182	13037
538	15207	13006
539	15235	12978
540	15265	12952
541	15294	12924
542	15325	12897
543	15353	12869
544	15377	12838
545	15408	12811
546	15438	12785
547	15466	12756
548	15493	12728
549	15520	12698
550	15545	12667
551	15573	12639
552	15601	12611
553	15628	12581
554	15654	12552
555	15681	12522
556	15707	12492
557	15734	12463
558	15761	12433
559	15788	12405
560	15818	12378
561	15844	12348
562	15872	12320
563	15901	12292
564	15928	12263
565	15954	12233
566	15981	12204
567	16009	12175
568	16035	12146
569	16062	12117
570	16090	12088
571	16116	12059
572	16143	12029
573	16171	12001
574	16198	11972
575	16224	11943
576	16253	11915
577	16284	11889
578	16332	11875
579	16363	11849
580	16395	11824
581	16432	11802
582	16462	11775
583	16491	11747
584	16521	11720
585	16550	11693
586	16584	11668
587	16616	11643
588	16646	11616
589	16679	11590
590	16712	11565
591	16743	11539
592	16774	11512
593	16807	11487
594	16840	11462
595	16875	11438
596	16906	11412
597	16940	11388
598	16972	11362
599	17002	11335
600	17033	11308
601	17067	11283
602	17098	11257
603	17133	11232
604	17165	11207
605	17195	11179
606	17228	11154
607	17260	11128
608	17292	11102
609	17324	11076
610	17357	11050
611	17388	11024
612	17419	10997
613	17451	10971
614	17483	10944
615	17515	10918
616	17550	10894
617	17582	10868
618	17615	10842
619	17645	10815
620	17674	10786
621	17705	10759
622	17737	10733
623	17770	10707
624	17801	10680
625	17842	10659
626	17874	10633
627	17909	10609
628	17943	10583
629	17976	10557
630	18028	10542
631	18060	10516
632	18091	10489
633	18124	10463
634	18154	10435
635	18186	10408
636	18217	10381
637	18249	10354
638	18278	10326
639	18316	10302
640	18347	10275
641	18379	10248
642	18409	10220
643	18441	10194
644	18476	10169
645	18512	10144
646	18546	10118
647	18580	10093
648	18615	10067
649	18654	10044
650	18689	10019
651	18723	9993
652	18754	9965
653	18787	9939
654	18817	9911
655	18852	9886
656	18884	9859
657	18921	9834
658	18952	9807
659	18983	9779
660	19015	9752
661	19045	9724
662	19077	9697
663	19107	9669
664	19139	9641
665	19171	9614
666	19205	9588
667	19236	9560
668	19266	9532
669	19299	9505
670	19334	9480
671	19369	9454
672	19401	9426
673	19437	9401
674	19468	9373
675	19502	9347
676	19535	9320
677	19570	9294
678	19602	9267
679	19640	9242
680	19677	9217
681	19711	9191
682	19748	9165
683	19786	9141
684	19822	9115
685	19858	9089
686	19892	9063
687	19938	9042
688	19976	9017
689	20009	8989
690	20042	8962
691	20075	8935
692	20107	8907
693	20137	8879
694	20169	8851
695	20203	8824
696	20230	8794
697	20258	8765
698	20286	8735
699	20314	8706
700	20341	8676
701	20367	8646
702	20394	8616
703	20422	8586
704	20448	8556
705	20476	8526
706	20502	8496
707	20532	8468
708	20559	8438
709	20583	8407
710	20614	8379
711	20642	8349
712	20671	8320
713	20698	8291
714	20727	8261
715	20754	8232
716	20786	8204
717	20814	8174
718	20841	8145
719	20868	8115
720	20896	8086
721	20926	8057
722	20957	8029
723	20983	7999
724	21009	7969
725	21036	7939
726	21061	7908
727	21088	7879
728	21116	7849
729	21144	7820
730	21176	7792
731	21204	7763
732	21232	7734
733	21260	7704
734	21288	7675
735	21317	7646
736	21346	7617
737	21374	7588
738	21402	7558
739	21429	7529
740	21456	7499
741	21484	7470
742	21514	7441
743	21543	7412
744	21575	7384
745	21603	7355
746	21635	7327
747	21671	7301
748	21708	7274
749	21744	7248
750	21780	7221
751	21829	7199
752	21860	7170
753	21892	7142
754	21921	7113
755	21949	7084
756	21976	7054
757	22002	7024
758	22026	6994
759	22058	6965
760	22089	6937
761	22123	6910
762	22155	6881
763	22186	6853
764	22218	6825
765	22253	6797
766	22283	6769
767	22315	6741
768	22343	6711
769	22370	6682
770	22400	6653
771	22426	6623
772	22454	6593
773	22481	6564
774	22509	6535
775	22538	6505
776	22567	6476
777	22596	6447
778	22624	6418
779	22654	6389
780	22684	6360
781	22719	6333
782	22756	6306
783	22790	6279
784	22827	6252
785	22864	6225
786	22895	6196
787	22921	6166
788	22950	6137
789	22976	6107
790	23003	6078
791	23032	6049
792	23059	6019
793	23089	5990
794	23119	5961
795	23151	5933
796	23185	5905
797	23218	5877
798	23253	5849
799	23280	5820
800	23311	5791
801	23345	5763
802	23378	5735
803	23412	5707
804	23443	5678
805	23476	5650
806	23506	5621
807	23547	5595
808	23581	5567
809	23613	5539
810	23647	5510
811	23680	5482
812	23714	5454
813	23743	5425
814	23771	5396
815	23800	5366
816	23829	5337
817	23859	5308
818	23887	5279
819	23915	5249
820	23944	5220
821	23972	5191
822	24004	5162
823	24041	5134
824	24078	5107
825	24111	5079
826	24144	5050
827	24178	5022
828	24205	4993
